pl_name,hostname,disc_year,discoverymethod,disc_facility
"""HD 150706 b""","""HD 150706""",2012,"""Radial Velocity""","""Haute-Provence Observatory"""
"""HIP 57274 b""","""HIP 57274""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HIP 57274 c""","""HIP 57274""",2011,"""Radial Velocity""","""W. M. Keck Observatory"""
"""PSR B1257+12 c""","""PSR B1257+12""",1992,"""Pulsar Timing""","""Arecibo Observatory"""
"""PSR B1257+12 c""","""PSR B1257+12""",1992,"""Pulsar Timing""","""Arecibo Observatory"""
"""HD 2952 b""","""HD 2952""",2013,"""Radial Velocity""","""Okayama Astrophysical Observatory"""
"""BD+15 2940 b""","""BD+15 2940""",2013,"""Radial Velocity""","""McDonald Observatory"""
"""mu Leo b""","""mu Leo""",2014,"""Radial Velocity""","""Bohyunsan Optical Astronomical Observatory"""
"""HD 155233 b""","""HD 155233""",2015,"""Radial Velocity""","""Anglo-Australian Telescope"""
"""91 Aqr b""","""91 Aqr""",2013,"""Radial Velocity""","""Lick Observatory"""
"""DENIS-P J082303.1-491201 b""","""DENIS-P J082303.1-491201""",2013,"""Astrometry""","""Paranal Observatory"""
"""GJ 667 C g""","""GJ 667 C""",2013,"""Radial Velocity""","""La Silla Observatory"""
"""HD 50554 b""","""HD 50554""",2002,"""Radial Velocity""","""Lick Observatory"""
"""HD 65216 c""","""HD 65216""",2013,"""Radial Velocity""","""La Silla Observatory"""
"""HD 50499 b""","""HD 50499""",2005,"""Radial Velocity""","""W. M. Keck Observatory"""
"""DH Tau b""","""DH Tau""",2004,"""Imaging""","""Subaru Telescope"""
"""PH2 b""","""PH2""",2013,"""Transit""","""Kepler"""
"""Kepler-33 c""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""Kepler-33 c""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""HD 113337 b""","""HD 113337""",2013,"""Radial Velocity""","""Haute-Provence Observatory"""
"""Kepler-33 d""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""WASP-10 b""","""WASP-10""",2008,"""Transit""","""SuperWASP"""
"""WASP-10 b""","""WASP-10""",2008,"""Transit""","""SuperWASP"""
"""GJ 1214 b""","""GJ 1214""",2009,"""Transit""","""MEarth Project"""
"""Wolf 503 b""","""Wolf 503""",2018,"""Transit""","""K2"""
"""Wolf 503 b""","""Wolf 503""",2018,"""Transit""","""K2"""
"""Qatar-2 b""","""Qatar-2""",2011,"""Transit""","""Qatar"""
"""HD 13908 b""","""HD 13908""",2013,"""Radial Velocity""","""Haute-Provence Observatory"""
"""HD 159243 b""","""HD 159243""",2013,"""Radial Velocity""","""Haute-Provence Observatory"""
"""HIP 91258 b""","""HIP 91258""",2013,"""Radial Velocity""","""Haute-Provence Observatory"""
"""ROXs 12 b""","""ROXs 12""",2013,"""Imaging""","""W. M. Keck Observatory"""
"""OGLE-2012-BLG-0406L b""","""OGLE-2012-BLG-0406L""",2013,"""Microlensing""","""OGLE"""
"""Kepler-290 b""","""Kepler-290""",2014,"""Transit""","""Kepler"""
"""Kepler-23 d""","""Kepler-23""",2014,"""Transit""","""Kepler"""
"""Kepler-164 d""","""Kepler-164""",2014,"""Transit""","""Kepler"""
"""Kepler-244 c""","""Kepler-244""",2014,"""Transit""","""Kepler"""
"""Kepler-323 c""","""Kepler-323""",2014,"""Transit""","""Kepler"""
"""Kepler-336 d""","""Kepler-336""",2014,"""Transit""","""Kepler"""
"""Kepler-349 b""","""Kepler-349""",2014,"""Transit""","""Kepler"""
"""HD 41004 A b""","""HD 41004 A""",2004,"""Radial Velocity""","""La Silla Observatory"""
"""HD 41004 B b""","""HD 41004 B""",2003,"""Radial Velocity""","""La Silla Observatory"""
"""HD 60532 b""","""HD 60532""",2008,"""Radial Velocity""","""La Silla Observatory"""
"""11 UMi b""","""11 UMi""",2009,"""Radial Velocity""","""Thueringer Landessternwarte Tautenburg"""
"""CoRoT-2 b""","""CoRoT-2""",2008,"""Transit""","""CoRoT"""
"""HD 117207 b""","""HD 117207""",2004,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 50499 c""","""HD 50499""",2019,"""Radial Velocity""","""La Silla Observatory"""
"""HD 89307 b""","""HD 89307""",2009,"""Radial Velocity""","""Lick Observatory"""
"""WASP-89 b""","""WASP-89""",2015,"""Transit""","""SuperWASP"""
"""WASP-80 b""","""WASP-80""",2012,"""Transit""","""SuperWASP"""
"""HAT-P-23 b""","""HAT-P-23""",2010,"""Transit""","""HATNet"""
"""WASP-67 b""","""WASP-67""",2012,"""Transit""","""SuperWASP"""
"""WASP-74 b""","""WASP-74""",2015,"""Transit""","""SuperWASP"""
"""HD 99109 b""","""HD 99109""",2005,"""Radial Velocity""","""W. M. Keck Observatory"""
"""GJ 581 e""","""GJ 581""",2009,"""Radial Velocity""","""La Silla Observatory"""
